IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.191.132,80,80,false,HKG,Asia Pacific,Hong Kong,142,9.43
144.21.32.193,2087,443,true,AMS,Europe,Amsterdam,188,9.42
150.230.105.53,2086,2086,false,NRT,Asia Pacific,Tokyo,82,9.41
132.145.125.165,2053,2053,true,NRT,Asia Pacific,Tokyo,81,9.41
138.2.14.164,8080,8080,false,HKG,Asia Pacific,Hong Kong,148,9.39
141.147.186.210,2083,2083,true,LAX,North America,Los Angeles,190,9.38
143.47.181.72,443,443,true,FRA,Europe,Frankfurt,184,9.38
151.145.69.174,8880,8880,false,HKG,Asia Pacific,Hong Kong,146,9.37
150.230.105.53,2052,2052,false,HKG,Asia Pacific,Hong Kong,148,9.37
150.230.109.138,8880,8880,false,HKG,Asia Pacific,Hong Kong,151,9.37
138.3.218.124,443,443,true,NRT,Asia Pacific,Tokyo,74,9.36
138.2.7.72,8080,8080,false,HKG,Asia Pacific,Hong Kong,142,9.36
138.2.29.102,80,80,false,HKG,Asia Pacific,Hong Kong,152,9.35
168.138.212.184,2095,2095,false,NRT,Asia Pacific,Tokyo,137,9.35
152.70.163.69,443,443,true,FRA,Europe,Frankfurt,169,9.35
158.101.189.76,443,443,true,FRA,Europe,Frankfurt,188,9.34
141.147.106.210,443,443,true,FRA,Europe,Frankfurt,173,9.34
141.144.194.57,443,443,true,FRA,Europe,Frankfurt,228,9.34
151.145.65.203,2052,2052,false,HKG,Asia Pacific,Hong Kong,144,9.33
168.138.196.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,172,9.31
141.144.248.48,443,443,true,FRA,Europe,Frankfurt,152,9.30
140.238.127.39,443,443,true,FRA,Europe,Frankfurt,182,9.30
150.230.108.135,8880,8880,false,HKG,Asia Pacific,Hong Kong,143,9.28
138.2.14.248,2052,2052,false,HKG,Asia Pacific,Hong Kong,181,9.27
138.3.214.43,8080,8080,false,HKG,Asia Pacific,Hong Kong,152,9.27
141.147.191.132,8080,8080,false,LAX,North America,Los Angeles,189,9.27
158.101.155.115,8443,8443,true,HKG,Asia Pacific,Hong Kong,168,9.26
158.179.176.239,2082,2082,false,HKG,Asia Pacific,Hong Kong,140,9.25
150.230.107.197,2095,2095,false,SIN,Asia Pacific,Singapore,176,9.25
158.101.155.246,2095,2095,false,NRT,Asia Pacific,Tokyo,75,9.24
152.70.107.26,2082,2082,false,LAX,North America,Los Angeles,250,9.23
144.24.184.13,443,443,true,FRA,Europe,Frankfurt,189,9.23
138.3.214.43,2095,2095,false,HKG,Asia Pacific,Hong Kong,190,9.22
141.147.189.23,2052,2052,false,HKG,Asia Pacific,Hong Kong,148,9.22
141.147.189.242,2087,2087,true,HKG,Asia Pacific,Hong Kong,145,9.22
168.138.198.202,8080,8080,false,NRT,Asia Pacific,Tokyo,90,9.22
138.2.8.232,8880,8880,false,HKG,Asia Pacific,Hong Kong,146,9.20
158.101.159.212,2095,2095,false,HKG,Asia Pacific,Hong Kong,144,9.20
150.230.208.83,8080,8080,false,HKG,Asia Pacific,Hong Kong,139,9.18
168.138.197.222,2083,2083,true,NRT,Asia Pacific,Tokyo,146,9.17
158.101.131.218,8080,8080,false,HKG,Asia Pacific,Hong Kong,153,9.17
89.168.103.88,443,443,true,FRA,Europe,Frankfurt,183,9.17
138.2.10.251,2086,2086,false,HKG,Asia Pacific,Hong Kong,149,9.17
158.101.140.255,2086,2086,false,HKG,Asia Pacific,Hong Kong,147,9.16
138.2.11.179,2095,2095,false,NRT,Asia Pacific,Tokyo,90,9.15
141.147.17.146,443,443,true,FRA,Europe,Frankfurt,175,9.15
143.47.180.201,443,443,true,FRA,Europe,Frankfurt,185,9.13
144.24.162.8,443,443,true,FRA,Europe,Frankfurt,178,9.13
138.3.212.226,8080,8080,false,HKG,Asia Pacific,Hong Kong,152,9.12
138.2.29.250,2082,2082,false,HKG,Asia Pacific,Hong Kong,146,9.12
155.248.166.141,2082,2082,false,NRT,Asia Pacific,Tokyo,74,9.12
141.144.201.21,443,443,true,FRA,Europe,Frankfurt,180,9.11
141.147.189.23,80,80,false,HKG,Asia Pacific,Hong Kong,144,9.11
158.101.158.238,8080,8080,false,NRT,Asia Pacific,Tokyo,80,9.10
168.138.206.68,2052,2052,false,SIN,Asia Pacific,Singapore,160,9.10
158.101.136.239,80,80,false,HKG,Asia Pacific,Hong Kong,142,9.09
138.2.13.200,80,80,false,HKG,Asia Pacific,Hong Kong,144,9.09
168.138.202.145,2095,2095,false,NRT,Asia Pacific,Tokyo,93,9.09
138.2.29.250,8880,8880,false,HKG,Asia Pacific,Hong Kong,146,9.08
138.3.254.7,443,443,true,FRA,Europe,Frankfurt,154,9.08
138.2.18.11,2087,2087,true,HKG,Asia Pacific,Hong Kong,232,9.08
155.248.167.70,8080,8080,false,HKG,Asia Pacific,Hong Kong,149,9.08
158.101.146.160,8080,8080,false,HKG,Asia Pacific,Hong Kong,153,9.06
138.2.19.122,2083,2083,true,HKG,Asia Pacific,Hong Kong,169,9.06
138.2.21.31,2052,2052,false,HKG,Asia Pacific,Hong Kong,147,9.05
193.123.57.211,443,443,true,FRA,Europe,Frankfurt,192,9.05
150.230.97.239,80,80,false,HKG,Asia Pacific,Hong Kong,190,9.05
158.101.210.75,443,443,true,FRA,Europe,Frankfurt,183,9.05
158.101.205.226,443,443,true,FRA,Europe,Frankfurt,192,9.04
158.178.246.169,8880,8880,false,SIN,Asia Pacific,Singapore,4,9.04
138.3.215.11,2086,2086,false,HKG,Asia Pacific,Hong Kong,142,9.04
150.230.97.239,2087,2087,true,HKG,Asia Pacific,Hong Kong,183,9.04
150.230.104.197,2052,2052,false,LAX,North America,Los Angeles,192,9.04
141.144.203.129,443,443,true,FRA,Europe,Frankfurt,181,9.04
132.145.127.51,8880,8880,false,HKG,Asia Pacific,Hong Kong,138,9.03
158.101.88.214,2086,2086,false,HKG,Asia Pacific,Hong Kong,140,9.02
158.179.180.109,2082,2082,false,HKG,Asia Pacific,Hong Kong,209,9.02
141.147.67.181,443,443,true,FRA,Europe,Frankfurt,159,9.01
138.2.21.31,2087,2087,true,HKG,Asia Pacific,Hong Kong,143,9.01
138.2.29.102,8080,8080,false,HKG,Asia Pacific,Hong Kong,194,9.01
138.2.18.11,8880,8880,false,HKG,Asia Pacific,Hong Kong,191,9.00
168.138.212.175,80,80,false,HKG,Asia Pacific,Hong Kong,145,9.00
158.101.158.238,2052,2052,false,HKG,Asia Pacific,Hong Kong,146,8.99
155.248.185.38,2095,2095,false,SIN,Asia Pacific,Singapore,153,8.99
152.70.106.195,8880,8880,false,HKG,Asia Pacific,Hong Kong,140,8.98
158.101.158.238,2086,2086,false,HKG,Asia Pacific,Hong Kong,147,8.98
150.230.101.125,8880,8880,false,HKG,Asia Pacific,Hong Kong,140,8.97
158.101.216.172,443,443,true,FRA,Europe,Frankfurt,175,8.96
152.70.104.69,80,80,false,HKG,Asia Pacific,Hong Kong,151,8.96
138.2.13.133,2052,2052,false,NRT,Asia Pacific,Tokyo,78,8.95
138.2.24.114,2053,2053,true,HKG,Asia Pacific,Hong Kong,215,8.95
158.101.139.42,80,80,false,HKG,Asia Pacific,Hong Kong,144,8.94
158.101.94.15,2053,2053,true,NRT,Asia Pacific,Tokyo,102,8.92
158.101.155.115,80,80,false,NRT,Asia Pacific,Tokyo,73,8.91
138.2.143.49,443,443,true,SIN,Asia Pacific,Singapore,167,8.91
150.230.205.56,8880,8880,false,HKG,Asia Pacific,Hong Kong,150,8.91
138.2.14.248,80,80,false,HKG,Asia Pacific,Hong Kong,139,8.91
150.230.200.210,2086,2086,false,HKG,Asia Pacific,Hong Kong,142,8.91
141.147.191.211,2082,2082,false,HKG,Asia Pacific,Hong Kong,144,8.90
150.230.205.56,8080,8080,false,HKG,Asia Pacific,Hong Kong,142,8.89
150.230.101.125,2082,2082,false,NRT,Asia Pacific,Tokyo,75,8.88
150.230.104.197,2095,2095,false,HKG,Asia Pacific,Hong Kong,143,8.87
168.138.198.53,2053,2053,true,NRT,Asia Pacific,Tokyo,83,8.87
151.145.66.219,2052,2052,false,NRT,Asia Pacific,Tokyo,91,8.86
144.24.175.145,443,443,true,FRA,Europe,Frankfurt,184,8.86
158.101.65.24,8080,8080,false,HKG,Asia Pacific,Hong Kong,187,8.85
168.138.205.38,2086,2086,false,HKG,Asia Pacific,Hong Kong,192,8.85
152.70.102.124,2095,2095,false,HKG,Asia Pacific,Hong Kong,135,8.85
144.21.35.154,443,443,true,FRA,Europe,Frankfurt,201,8.84
141.147.189.242,80,80,false,SIN,Asia Pacific,Singapore,154,8.84
151.145.71.40,2083,2083,true,NRT,Asia Pacific,Tokyo,82,8.83
150.230.105.228,2086,2086,false,HKG,Asia Pacific,Hong Kong,147,8.82
150.230.106.21,2087,2087,true,HKG,Asia Pacific,Hong Kong,180,8.81
155.248.169.71,2095,2095,false,HKG,Asia Pacific,Hong Kong,142,8.80
158.101.136.239,8080,8080,false,HKG,Asia Pacific,Hong Kong,154,8.79
138.2.19.122,80,80,false,HKG,Asia Pacific,Hong Kong,150,8.79
158.178.246.169,8080,8080,false,SIN,Asia Pacific,Singapore,4,8.79
155.248.167.70,8880,8880,false,HKG,Asia Pacific,Hong Kong,146,8.79
138.2.13.133,8080,8080,false,HKG,Asia Pacific,Hong Kong,144,8.78
168.138.212.74,8880,8880,false,HKG,Asia Pacific,Hong Kong,143,8.77
138.2.18.11,8080,8080,false,HKG,Asia Pacific,Hong Kong,192,8.77
158.101.152.221,2095,2095,false,HKG,Asia Pacific,Hong Kong,143,8.75
158.101.150.74,2096,2096,true,HKG,Asia Pacific,Hong Kong,147,8.74
141.147.189.242,2082,2082,false,HKG,Asia Pacific,Hong Kong,140,8.72
158.101.70.155,8880,8880,false,HKG,Asia Pacific,Hong Kong,146,8.72
141.144.201.163,443,443,true,FRA,Europe,Frankfurt,192,8.71
158.101.81.4,8080,8080,false,HKG,Asia Pacific,Hong Kong,149,8.71
150.230.105.228,8080,8080,false,HKG,Asia Pacific,Hong Kong,138,8.71
138.2.24.114,8443,8443,true,NRT,Asia Pacific,Tokyo,138,8.70
155.248.181.4,2086,2086,false,HKG,Asia Pacific,Hong Kong,144,8.70
150.230.101.125,2053,2053,true,HKG,Asia Pacific,Hong Kong,251,8.69
141.147.106.91,443,443,true,FRA,Europe,Frankfurt,192,8.69
138.2.31.68,2052,2052,false,HKG,Asia Pacific,Hong Kong,148,8.68
152.67.134.51,443,443,true,SIN,Asia Pacific,Singapore,176,8.68
140.238.61.224,2087,2087,true,NRT,Asia Pacific,Tokyo,87,8.66
150.230.202.232,2086,2086,false,NRT,Asia Pacific,Tokyo,84,8.66
168.138.206.236,2053,2053,true,HKG,Asia Pacific,Hong Kong,185,8.65
141.147.186.210,2082,2082,false,HKG,Asia Pacific,Hong Kong,145,8.65
141.147.117.54,443,443,true,SIN,Asia Pacific,Singapore,177,8.65
158.101.139.42,8880,8880,false,HKG,Asia Pacific,Hong Kong,138,8.65
132.145.125.86,80,80,false,SIN,Asia Pacific,Singapore,156,8.65
158.101.81.4,80,80,false,NRT,Asia Pacific,Tokyo,83,8.64
141.147.191.211,2086,2086,false,NRT,Asia Pacific,Tokyo,81,8.64
150.230.101.13,80,80,false,HKG,Asia Pacific,Hong Kong,151,8.63
138.2.18.11,2053,2053,true,HKG,Asia Pacific,Hong Kong,157,8.63
152.70.102.124,2087,2087,true,HKG,Asia Pacific,Hong Kong,165,8.63
152.70.106.195,2096,2096,true,HKG,Asia Pacific,Hong Kong,146,8.63
168.138.206.109,8443,8443,true,NRT,Asia Pacific,Tokyo,94,8.63
141.147.105.230,443,443,true,FRA,Europe,Frankfurt,209,8.62
155.248.185.38,2052,2052,false,HKG,Asia Pacific,Hong Kong,151,8.62
144.21.32.20,443,443,true,FRA,Europe,Frankfurt,181,8.62
141.147.191.132,2086,2086,false,HKG,Asia Pacific,Hong Kong,142,8.61
168.138.213.210,2053,2053,true,HKG,Asia Pacific,Hong Kong,220,8.60
151.145.70.28,2095,2095,false,SIN,Asia Pacific,Singapore,161,8.60
151.145.69.105,80,80,false,HKG,Asia Pacific,Hong Kong,136,8.60
130.162.178.228,443,0,true,FRA,Europe,Frankfurt,193,8.59
168.138.196.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,184,8.59
138.2.21.31,8880,8880,false,HKG,Asia Pacific,Hong Kong,160,8.58
151.145.68.104,8080,8080,false,HKG,Asia Pacific,Hong Kong,150,8.56
158.101.146.160,2083,2083,true,HKG,Asia Pacific,Hong Kong,206,8.56
155.248.187.37,2082,2082,false,HKG,Asia Pacific,Hong Kong,147,8.56
158.101.158.251,8880,8880,false,HKG,Asia Pacific,Hong Kong,140,8.55
158.101.154.70,8080,8080,false,HKG,Asia Pacific,Hong Kong,146,8.55
150.230.105.53,2087,2087,true,HKG,Asia Pacific,Hong Kong,141,8.54
168.138.207.64,80,80,false,HKG,Asia Pacific,Hong Kong,163,8.54
151.145.71.40,8880,8880,false,NRT,Asia Pacific,Tokyo,80,8.54
155.248.162.160,2052,2052,false,HKG,Asia Pacific,Hong Kong,145,8.53
155.248.181.4,8080,8080,false,HKG,Asia Pacific,Hong Kong,150,8.53
138.2.14.248,8080,8080,false,HKG,Asia Pacific,Hong Kong,139,8.53
141.147.86.54,443,443,true,FRA,Europe,Frankfurt,201,8.52
158.101.70.155,80,80,false,NRT,Asia Pacific,Tokyo,76,8.52
155.248.176.28,2082,2082,false,HKG,Asia Pacific,Hong Kong,148,8.52
150.230.208.113,80,80,false,HKG,Asia Pacific,Hong Kong,142,8.51
138.2.7.72,2086,2086,false,SIN,Asia Pacific,Singapore,153,8.51
168.138.194.121,2087,2087,true,SIN,Asia Pacific,Singapore,205,8.49
158.101.152.221,2053,2053,true,SIN,Asia Pacific,Singapore,182,8.49
168.138.208.17,2053,2053,true,NRT,Asia Pacific,Tokyo,83,8.49
150.230.213.95,8080,8080,false,SIN,Asia Pacific,Singapore,168,8.48
150.230.208.83,2082,2082,false,SIN,Asia Pacific,Singapore,152,8.48
143.47.187.169,443,443,true,FRA,Europe,Frankfurt,209,8.48
141.147.25.33,443,443,true,FRA,Europe,Frankfurt,187,8.48
150.230.97.239,2086,2086,false,SIN,Asia Pacific,Singapore,171,8.47
150.230.101.13,2096,2096,true,HKG,Asia Pacific,Hong Kong,140,8.45
150.230.101.125,2083,2083,true,HKG,Asia Pacific,Hong Kong,213,8.44
138.2.14.164,2095,2095,false,HKG,Asia Pacific,Hong Kong,142,8.43
132.145.127.21,2083,2083,true,NRT,Asia Pacific,Tokyo,81,8.43
141.144.198.62,443,443,true,FRA,Europe,Frankfurt,172,8.42
151.145.71.40,2052,2052,false,NRT,Asia Pacific,Tokyo,79,8.41
155.248.176.28,2096,2096,true,HKG,Asia Pacific,Hong Kong,143,8.40
158.101.158.251,2086,2086,false,HKG,Asia Pacific,Hong Kong,150,8.39
138.2.24.114,80,80,false,HKG,Asia Pacific,Hong Kong,138,8.39
129.146.240.62,443,443,true,LAX,North America,Los Angeles,244,8.39
151.145.65.203,80,80,false,HKG,Asia Pacific,Hong Kong,149,8.39
138.2.24.114,8880,8880,false,HKG,Asia Pacific,Hong Kong,159,8.38
150.230.105.228,80,80,false,HKG,Asia Pacific,Hong Kong,135,8.38
150.230.101.13,8443,8443,true,SIN,Asia Pacific,Singapore,159,8.38
150.230.106.21,2095,2095,false,HKG,Asia Pacific,Hong Kong,141,8.37
138.2.6.15,2082,2082,false,SIN,Asia Pacific,Singapore,163,8.37
138.2.21.31,8443,8443,true,HKG,Asia Pacific,Hong Kong,177,8.37
141.147.185.149,2082,2082,false,HKG,Asia Pacific,Hong Kong,138,8.36
132.145.123.238,2053,2053,true,SIN,Asia Pacific,Singapore,178,8.36
141.147.88.55,443,443,true,FRA,Europe,Frankfurt,186,8.35
150.230.201.63,2095,2095,false,NRT,Asia Pacific,Tokyo,78,8.34
158.101.137.74,2052,2052,false,HKG,Asia Pacific,Hong Kong,150,8.33
158.101.81.4,2096,2096,true,HKG,Asia Pacific,Hong Kong,144,8.33
150.230.107.197,2087,2087,true,HKG,Asia Pacific,Hong Kong,169,8.33
158.101.140.154,80,80,false,NRT,Asia Pacific,Tokyo,79,8.33
132.145.123.143,8080,8080,false,HKG,Asia Pacific,Hong Kong,147,8.32
158.101.159.181,80,80,false,HKG,Asia Pacific,Hong Kong,142,8.32
138.3.222.204,2082,2082,false,HKG,Asia Pacific,Hong Kong,141,8.32
155.248.185.38,2083,2083,true,HKG,Asia Pacific,Hong Kong,151,8.32
155.248.181.4,2095,2095,false,HKG,Asia Pacific,Hong Kong,146,8.31
158.101.149.81,2087,2087,true,HKG,Asia Pacific,Hong Kong,195,8.31
138.2.8.232,2082,2082,false,HKG,Asia Pacific,Hong Kong,152,8.30
141.147.185.149,2095,2095,false,HKG,Asia Pacific,Hong Kong,140,8.30
168.138.192.185,2086,2086,false,HKG,Asia Pacific,Hong Kong,143,8.30
151.145.65.203,2082,2082,false,HKG,Asia Pacific,Hong Kong,146,8.29
152.67.135.21,443,443,true,FRA,Europe,Frankfurt,219,8.29
158.101.88.214,80,80,false,HKG,Asia Pacific,Hong Kong,186,8.28
158.101.139.42,2083,2083,true,HKG,Asia Pacific,Hong Kong,183,8.28
144.21.41.138,443,443,true,FRA,Europe,Frankfurt,209,8.28
155.248.169.71,2053,2053,true,HKG,Asia Pacific,Hong Kong,139,8.27
141.147.69.149,443,443,true,FRA,Europe,Frankfurt,191,8.27
168.138.206.68,8080,8080,false,HKG,Asia Pacific,Hong Kong,142,8.27
168.138.194.121,8080,8080,false,HKG,Asia Pacific,Hong Kong,153,8.27
151.145.68.166,2095,2095,false,HKG,Asia Pacific,Hong Kong,145,8.27
158.101.154.70,8880,8880,false,SIN,Asia Pacific,Singapore,149,8.27
141.147.191.132,2082,2082,false,HKG,Asia Pacific,Hong Kong,155,8.26
129.159.199.21,443,443,true,AMS,Europe,Amsterdam,154,8.26
138.2.21.31,8080,8080,false,HKG,Asia Pacific,Hong Kong,144,8.25
138.2.13.200,8080,8080,false,HKG,Asia Pacific,Hong Kong,149,8.25
151.145.69.174,2082,2082,false,HKG,Asia Pacific,Hong Kong,148,8.25
192.9.135.122,8443,443,true,SJC,North America,San Jose,175,8.23
138.2.31.68,8880,8880,false,HKG,Asia Pacific,Hong Kong,133,8.23
138.3.217.39,8880,8880,false,SIN,Asia Pacific,Singapore,155,8.22
158.101.150.74,2086,2086,false,HKG,Asia Pacific,Hong Kong,155,8.22
138.2.13.133,80,80,false,HKG,Asia Pacific,Hong Kong,138,8.21
138.2.20.230,2082,2082,false,HKG,Asia Pacific,Hong Kong,151,8.21
155.248.168.251,2096,2096,true,HKG,Asia Pacific,Hong Kong,152,8.21
168.138.192.185,2087,2087,true,HKG,Asia Pacific,Hong Kong,156,8.20
150.230.101.13,2053,2053,true,HKG,Asia Pacific,Hong Kong,178,8.19
158.101.159.212,2096,2096,true,HKG,Asia Pacific,Hong Kong,145,8.19
151.145.68.104,2082,2082,false,LAX,North America,Los Angeles,185,8.19
141.144.202.197,443,443,true,FRA,Europe,Frankfurt,181,8.18
138.2.14.164,80,80,false,HKG,Asia Pacific,Hong Kong,147,8.18
150.230.112.136,443,443,true,FRA,Europe,Frankfurt,177,8.17
168.138.198.53,2086,2086,false,NRT,Asia Pacific,Tokyo,80,8.16
138.2.21.31,2086,2086,false,HKG,Asia Pacific,Hong Kong,147,8.16
140.238.122.191,443,443,true,FRA,Europe,Frankfurt,184,8.14
132.145.124.198,80,80,false,HKG,Asia Pacific,Hong Kong,149,8.14
158.101.159.212,8880,8880,false,HKG,Asia Pacific,Hong Kong,146,8.14
140.238.54.184,2083,2083,true,NRT,Asia Pacific,Tokyo,81,8.14
141.147.189.242,8880,8880,false,NRT,Asia Pacific,Tokyo,75,8.13
132.145.12.49,443,443,true,FRA,Europe,Frankfurt,198,8.13
150.230.97.239,8880,8880,false,NRT,Asia Pacific,Tokyo,79,8.13
138.3.222.204,2053,2053,true,HKG,Asia Pacific,Hong Kong,173,8.12
168.138.214.62,2096,2096,true,NRT,Asia Pacific,Tokyo,178,8.12
129.146.84.236,443,443,true,LAX,North America,Los Angeles,183,8.11
138.2.14.164,8880,8880,false,NRT,Asia Pacific,Tokyo,82,8.11
158.101.155.246,8080,8080,false,HKG,Asia Pacific,Hong Kong,144,8.10
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,176,8.10
158.101.148.221,2096,2096,true,HKG,Asia Pacific,Hong Kong,164,8.10
158.101.152.221,2052,2052,false,HKG,Asia Pacific,Hong Kong,149,8.10
158.101.221.162,443,443,true,FRA,Europe,Frankfurt,188,8.09
141.147.191.211,2053,2053,true,SIN,Asia Pacific,Singapore,178,8.08
150.230.106.21,2096,2096,true,HKG,Asia Pacific,Hong Kong,140,8.07
138.2.19.122,2095,2095,false,SIN,Asia Pacific,Singapore,166,8.07
168.138.208.164,8080,8080,false,HKG,Asia Pacific,Hong Kong,165,8.07
150.230.109.138,2096,2096,true,HKG,Asia Pacific,Hong Kong,151,8.07
150.230.99.173,8880,8880,false,HKG,Asia Pacific,Hong Kong,200,8.06
158.101.69.144,2095,2095,false,HKG,Asia Pacific,Hong Kong,145,8.06
138.2.8.232,2095,2095,false,HKG,Asia Pacific,Hong Kong,143,8.06
138.2.19.122,2096,2096,true,SIN,Asia Pacific,Singapore,194,8.05
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,181,8.05
138.3.212.162,2095,2095,false,HKG,Asia Pacific,Hong Kong,143,8.05
168.138.198.202,2082,2082,false,NRT,Asia Pacific,Tokyo,79,8.04
155.248.176.28,80,80,false,HKG,Asia Pacific,Hong Kong,142,8.04
138.2.13.133,2053,2053,true,HKG,Asia Pacific,Hong Kong,160,8.03
155.248.180.57,2052,2052,false,HKG,Asia Pacific,Hong Kong,145,8.03
151.145.65.8,8443,8443,true,NRT,Asia Pacific,Tokyo,149,8.02
168.138.200.159,8880,8880,false,SIN,Asia Pacific,Singapore,148,8.02
138.2.14.164,2086,2086,false,HKG,Asia Pacific,Hong Kong,152,8.02
138.2.8.232,80,80,false,HKG,Asia Pacific,Hong Kong,140,8.02
155.248.180.57,2096,2096,true,NRT,Asia Pacific,Tokyo,81,8.02
141.147.186.210,2052,2052,false,NRT,Asia Pacific,Tokyo,86,8.02
168.138.215.188,2083,2083,true,NRT,Asia Pacific,Tokyo,81,8.01
141.147.45.195,2052,443,true,CDG,Europe,Paris,167,8.00
138.2.31.68,8080,8080,false,HKG,Asia Pacific,Hong Kong,133,8.00
158.101.146.160,2053,2053,true,HKG,Asia Pacific,Hong Kong,214,8.00
158.101.145.246,2083,2083,true,SIN,Asia Pacific,Singapore,201,8.00
138.2.24.114,8080,8080,false,NRT,Asia Pacific,Tokyo,93,8.00
155.248.181.4,2052,2052,false,HKG,Asia Pacific,Hong Kong,143,8.00
138.2.12.32,2096,2096,true,SIN,Asia Pacific,Singapore,168,8.00
138.3.214.43,80,80,false,HKG,Asia Pacific,Hong Kong,147,8.00
155.248.169.71,8080,8080,false,HKG,Asia Pacific,Hong Kong,143,7.99
151.145.69.105,2095,2095,false,HKG,Asia Pacific,Hong Kong,151,7.98
150.230.97.239,2082,2082,false,HKG,Asia Pacific,Hong Kong,142,7.98
144.21.36.77,443,443,true,EWR,North America,Newark,195,7.97
158.101.149.81,2096,2096,true,HKG,Asia Pacific,Hong Kong,146,7.97
158.101.149.81,2095,2095,false,NRT,Asia Pacific,Tokyo,75,7.97
150.230.208.113,2082,2082,false,HKG,Asia Pacific,Hong Kong,140,7.96
150.230.107.197,2083,2083,true,HKG,Asia Pacific,Hong Kong,177,7.95
138.2.13.133,2082,2082,false,HKG,Asia Pacific,Hong Kong,149,7.95
138.2.31.68,2053,2053,true,HKG,Asia Pacific,Hong Kong,157,7.94
138.3.217.39,8080,8080,false,HKG,Asia Pacific,Hong Kong,151,7.94
168.138.211.131,8880,8880,false,HKG,Asia Pacific,Hong Kong,142,7.93
141.147.74.121,443,443,true,FRA,Europe,Frankfurt,230,7.93
150.230.105.228,2087,2087,true,HKG,Asia Pacific,Hong Kong,199,7.92
168.138.206.236,2095,2095,false,HKG,Asia Pacific,Hong Kong,149,7.92
150.230.105.53,2053,2053,true,SIN,Asia Pacific,Singapore,181,7.91
168.138.196.164,8443,8443,true,HKG,Asia Pacific,Hong Kong,167,7.91
132.145.123.112,2095,2095,false,HKG,Asia Pacific,Hong Kong,186,7.91
152.70.99.187,2052,2052,false,SIN,Asia Pacific,Singapore,144,7.91
158.101.140.154,8080,8080,false,HKG,Asia Pacific,Hong Kong,146,7.90
158.101.148.221,2083,2083,true,HKG,Asia Pacific,Hong Kong,138,7.89
168.138.206.236,8880,8880,false,HKG,Asia Pacific,Hong Kong,145,7.89
138.2.20.230,2052,2052,false,NRT,Asia Pacific,Tokyo,75,7.88
150.230.219.168,2086,2086,false,SIN,Asia Pacific,Singapore,151,7.88
138.2.8.232,8443,8443,true,HKG,Asia Pacific,Hong Kong,172,7.87
158.101.155.158,2053,2053,true,HKG,Asia Pacific,Hong Kong,156,7.87
158.101.81.4,8880,8880,false,HKG,Asia Pacific,Hong Kong,155,7.87
150.230.202.132,2086,2086,false,HKG,Asia Pacific,Hong Kong,142,7.87
138.2.12.32,2087,2087,true,HKG,Asia Pacific,Hong Kong,169,7.86
158.101.155.115,2082,2082,false,HKG,Asia Pacific,Hong Kong,145,7.86
150.230.109.138,2053,2053,true,SIN,Asia Pacific,Singapore,150,7.86
152.70.102.124,8880,8880,false,HKG,Asia Pacific,Hong Kong,133,7.85
141.145.206.16,8443,443,true,CDG,Europe,Paris,187,7.84
150.230.106.21,80,80,false,HKG,Asia Pacific,Hong Kong,152,7.84
155.248.166.141,2086,2086,false,HKG,Asia Pacific,Hong Kong,145,7.83
168.138.206.236,2083,2083,true,NRT,Asia Pacific,Tokyo,164,7.83
158.101.148.221,2086,2086,false,HKG,Asia Pacific,Hong Kong,138,7.83
158.101.81.4,2095,2095,false,HKG,Asia Pacific,Hong Kong,189,7.83
150.230.97.239,8080,8080,false,NRT,Asia Pacific,Tokyo,79,7.83
138.3.220.4,80,80,false,HKG,Asia Pacific,Hong Kong,144,7.82
158.101.65.24,2086,2086,false,HKG,Asia Pacific,Hong Kong,145,7.82
155.248.176.68,2095,2095,false,HKG,Asia Pacific,Hong Kong,143,7.82
89.168.118.93,443,443,true,EWR,North America,Newark,179,7.82
150.230.107.197,2053,2053,true,HKG,Asia Pacific,Hong Kong,167,7.82
158.101.140.154,2053,2053,true,HKG,Asia Pacific,Hong Kong,142,7.82
138.2.14.209,2086,2086,false,SIN,Asia Pacific,Singapore,148,7.82
168.138.202.169,2087,2087,true,NRT,Asia Pacific,Tokyo,130,7.82
152.70.106.185,8080,8080,false,LAX,North America,Los Angeles,227,7.81
155.248.176.68,2082,2082,false,HKG,Asia Pacific,Hong Kong,142,7.81
150.230.23.179,443,443,true,FRA,Europe,Frankfurt,212,7.80
158.101.150.126,2086,2086,false,HKG,Asia Pacific,Hong Kong,151,7.79
158.101.158.238,8443,8443,true,HKG,Asia Pacific,Hong Kong,151,7.77
138.2.10.251,8080,8080,false,HKG,Asia Pacific,Hong Kong,144,7.76
158.101.147.4,2086,2086,false,HKG,Asia Pacific,Hong Kong,145,7.76
155.248.187.37,2096,2096,true,HKG,Asia Pacific,Hong Kong,151,7.75
151.145.74.56,8080,8080,false,HKG,Asia Pacific,Hong Kong,156,7.74
155.248.169.71,8443,8443,true,HKG,Asia Pacific,Hong Kong,145,7.74
138.2.12.32,2095,2095,false,HKG,Asia Pacific,Hong Kong,142,7.72
132.145.123.143,2052,2052,false,NRT,Asia Pacific,Tokyo,85,7.72
